"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210686;4;99;"OUTROS BENS E DIREITOS";"130 vacas de raça nelore";"260000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210687;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 CARRO GOL - modelo/ano 2001/2001 cor branco, placa MZN3739  ";"7000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210687;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"  01 CARRO GOL - modelo/ano 2001/2001 cor branca, placa MZN3739 ";"6000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210687;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 MOTO MODELO: yamaha/ys150 fazer ed ano 2014, cor vermelha, placa NAD0A44";"8000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210688;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"01 carro S10, modelo/ano 2014/2014 cor branca, placa NXS5057";"80000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210688;2;12;"Casa";"RESIDENCIAL construida no terreno 15x30 mt, localizada na R. Manoel Julião, bairro maria fernandes";"100000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01538";"SENADOR GUIOMARD";10002210689;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Caminhão ano/modelo: 2000, agrale, cor branco, placa MTI3B26";"100000,00";"06/10/2024";"19:13:32"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01082";"RODRIGUES ALVES";10002206693;1;32;"Quotas ou quinhões de capital";"100% DAS COTAS DA MICRO- EMPRESA  RAIMUNDO NONATO DE ARA´UJO MOURA, CNPJ:42.292.598/0001-80";"80000,00";"06/10/2024";"19:13:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01082";"RODRIGUES ALVES";10002206693;2;19;"Outros bens imóveis";"PREDIO COMERCIAL NA RUA SENA MADUREIRA";"50000,00";"06/10/2024";"19:13:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01082";"RODRIGUES ALVES";10002206694;1;61;"Depósito bancário em conta corrente no País";"BANCO BRADESCO";"5195,47";"06/10/2024";"19:13:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01082";"RODRIGUES ALVES";10002206694;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA HILUX CS4X CAMINHONETE ANO 2008";"85151,00";"06/10/2024";"19:13:20"
