"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"20/01/2021";1843252379;"AC";"Nota Fiscal";"850005";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";0;"Cheque";39861695;26743240;"29/10/2020";"ADESIVO 40X40 | ADESIVO BOLA | ADESIVO BOLA PEQUENO | ADESIVO MOTO | BANDEIRA PADRÃO | BANNER 100X70 CM | CARTA TAM 14X21 | CARTAZ | PERFURADO";"1100,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"20/01/2021";1843252379;"AC";"Nota Fiscal";"850017";2;"Fundo Especial de Financiamento de Campanha";20150000;"Alimentação";1;"Financeiro";0;"Cheque";39861699;26743249;"11/11/2020";"MARMITEX";"1200,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"20/01/2021";1843252379;"AC";"Nota Fiscal";"850001";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";0;"Cheque";39861699;26743250;"13/11/2020";"MARMITEX";"60,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"850012";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381383;23909283;"13/11/2020";"SERVIÇOS DE MILITANCIA";"300,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"03/12/2020";1843214800;"AC";"#NULO";"56596891";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";34527177;22437486;"06/11/2020";"#NULO";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"11/12/2020";1843156393;"AC";"Nota Fiscal";"8500010";0;"Fundo Partidário";20800000;"Atividades de militância e mobilização de rua";1;"Financeiro";0;"Cheque";36381380;23909281;"13/11/2020";"SERVIÇOS DE MILITANCIA";"400,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"07/12/2020";1828952487;"AC";"#NULO";"34965747";2;"Fundo Especial de Financiamento de Campanha";20240000;"Doações financeiras a outros candidatos/partidos";1;"Financeiro";1;"Transferência eletrônica";35139305;22893633;"03/11/2020";"#NULO";"3000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"12/12/2020";1843175846;"AC";"Nota Fiscal";"850014";1;"Outros Recursos";20150000;"Alimentação";1;"Financeiro";0;"Cheque";36557943;24059039;"30/11/2020";"SERV PRESTADO DE REFEIÇÃO PARA MILITANCIA DE RUA";"4020,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1844523172;"AC";"Nota Fiscal";"850004";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";38583285;25712696;"28/10/2020";"ADESIVO/SANTINHOS";"900,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/12/2020";1844523172;"AC";"Nota Fiscal";"850007";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";38583285;25712697;"11/11/2020";"ADESIVO/SANTINHOS";"1250,00"
